Title,Description,Difficulty,Prep Time,Cooking Time,Servings,Ingredients,Steps,Tags
Juicy Shirazi Salad (Persian Salad),"This Persian Shirazi salad is a burst of freshness in every bite! Originating from the city of Shiraz in Iran, this simple yet vibrant salad combines crisp cucumbers, juicy tomatoes, and crunchy onions with a zesty lime dressing. It's light, refreshing, and incredibly addictive – you'll find yourself making it again and again, especially during the hot summer months. What makes this salad special is its simplicity: just a handful of fresh ingredients, but the result is so much more than the sum of its parts. The key is to chop everything very finely and let the salad sit for about 10 minutes before serving, allowing the flavors to meld together beautifully. You can easily customize this by adding fresh mint, dill, or even some pomegranate seeds for a pop of color and sweetness. This salad is traditionally served alongside kebabs and rice, but it also makes a fantastic side for grilled meats, fish, or as a topping for flatbreads and wraps. It's vegan, gluten-free, and ready in under 20 minutes – what's not to love?",Easy 👌,15 min,5 min,4 portions,"3 large tomatoes, 2 cucumbers, 1 red onion, juice of 2 limes, 3 tbsp olive oil, 1 tsp dried mint, salt, pepper","1. Dice tomatoes, cucumbers and onion into very small cubes. 2. Mix with lime juice, olive oil, dried mint, salt and pepper. 3. Let sit for 10 min before serving to allow flavors to blend.","middle eastern, side, salad, vegan, gluten free, Meatless, light, Persian, savory, for four, vegetables, spring, summer"
Creamy roasted red pepper soup,"This roasted red pepper soup is like sunshine in a bowl – vibrant, warming, and utterly delicious! Roasting the peppers brings out their natural sweetness and adds a subtle smoky depth that makes this soup incredibly satisfying. The creamy texture comes from blending the roasted vegetables with a touch of cream, creating a velvety smooth soup that feels indulgent but is actually quite light. This recipe is perfect for meal prep – it freezes beautifully and tastes even better the next day. You can easily make it vegan by using coconut cream instead of dairy cream. For extra flavor, try adding a pinch of smoked paprika or a swirl of pesto on top before serving. If you want to add some protein, a handful of cooked chickpeas or white beans stirred in at the end works wonderfully. This soup pairs perfectly with crusty bread or a grilled cheese sandwich for a cozy, comforting meal. It's also elegant enough to serve as a starter for dinner parties – just garnish with fresh basil and a drizzle of good olive oil.",Easy 👌,15 min,30 min,4 portions,"4 red bell peppers, 2 tomatoes, 1 onion, 3 cloves garlic, 500ml vegetable stock, 100ml heavy cream, 2 tbsp olive oil, 1 tsp paprika, salt, pepper, fresh basil (for garnish)","1. Preheat oven to 200°C/400°F. Halve peppers and remove seeds. Place peppers, tomatoes, onion quarters and garlic on baking sheet. Drizzle with olive oil. 2. Roast for 25-30 min until charred and soft. 3. Transfer to blender, add stock, paprika and blend until smooth. 4. Pour into pot, stir in cream, heat through. Season with salt and pepper. 5. Serve garnished with fresh basil and a drizzle of olive oil.","roasting, vegetarian, salty, side, soup, main, gluten free, comfort food, Meatless, savory, for four, dairy, herbs, vegetables, autumn, winter, oven"
Baked eggs in tomato sauce (Shakshuka),"Shakshuka is the ultimate comfort food – a one-pan wonder that's perfect for breakfast, brunch, lunch, or even dinner! This Middle Eastern dish features eggs poached in a rich, spicy tomato sauce loaded with bell peppers and onions. It's warming, satisfying, and incredibly flavorful. The best part? It looks impressive but is actually super easy to make. The key to a great shakshuka is building layers of flavor: sautéing the vegetables until soft and sweet, adding plenty of spices like cumin and paprika, and letting the tomato sauce simmer until thick and rich. Then you just crack the eggs right into the sauce and let them cook until the whites are set but the yolks are still runny – perfect for dipping bread into! You can customize this recipe by adding spinach, chickpeas, or crumbled feta on top. For extra heat, add some harissa or fresh chili. This dish is traditionally served family-style straight from the pan with lots of crusty bread for scooping. It's perfect for a lazy weekend brunch or a quick weeknight dinner.",Easy 👌,10 min,25 min,2 portions,"4 eggs, 1 onion, 2 bell peppers, 3 cloves garlic, 400g canned tomatoes, 1 tsp cumin, 1 tsp paprika, 1/2 tsp chili flakes, 3 tbsp olive oil, salt, pepper, fresh parsley, bread (for serving)","1. Dice onion, peppers and garlic. Heat olive oil in large pan, sauté onion and peppers until soft. 2. Add garlic, cumin, paprika and chili, cook for 1 min. 3. Add tomatoes, season with salt and pepper. Simmer for 15 min until thickened. 4. Make 4 wells in sauce and crack eggs into them. Cover and cook until whites are set but yolks still runny. 5. Garnish with fresh parsley and serve with bread.","middle eastern, breakfast, vegetarian, salty, spicy, main, eggs, gluten free, brunch, spices, Meatless, savory, for two, dairy, herbs, vegetables, spring, autumn, summer, winter"
Crispy coconut tofu with sweet chili sauce,"If you think tofu is bland, this crispy coconut version will change your mind forever! The secret is coating the tofu in a mixture of coconut flakes and panko breadcrumbs, then baking (or frying) until golden and crunchy. The result is a texture that's crispy on the outside and tender on the inside, with a subtle sweetness from the coconut that pairs perfectly with the tangy-sweet chili sauce. This recipe is perfect for converting tofu skeptics – the coating is so delicious that even meat lovers will be impressed. You can easily make this gluten-free by using gluten-free breadcrumbs, and it's already vegan-friendly. The sweet chili sauce can be store-bought or homemade – try adding fresh ginger and lime juice to take it to the next level. Serve this as an appetizer, add it to salads or rice bowls, or make it the star of a meal with some steamed rice and stir-fried vegetables. The tofu can also be made in an air fryer for an even healthier version – just spray with a little oil and cook at 200°C/400°F for 15 minutes, flipping halfway through.",Easy 👌,20 min,25 min,2 portions,"400g firm tofu, 50g shredded coconut, 50g panko breadcrumbs, 2 eggs, 3 tbsp flour, 100ml sweet chili sauce, vegetable oil (for frying), salt, pepper","1. Press tofu to remove excess water, cut into cubes. 2. Set up breading station: flour in one bowl, beaten eggs in another, coconut and panko mixed in third bowl. 3. Coat tofu in flour, then egg, then coconut mixture. 4. Heat oil in pan and fry tofu until golden and crispy on all sides. Or bake at 200°C/400°F for 25 min. 5. Serve with sweet chili sauce for dipping.","Asian, vegan, salty, sweet, main, veganuary, lactose free, comfort food, spices, Meatless, savory, for two, soy products, frying, spring, autumn, summer, winter"
Spicy Korean gochujang noodles,"These Korean-inspired noodles are packed with flavor and come together in less than 20 minutes – perfect for when you're craving something spicy, savory, and totally satisfying! The star of this dish is gochujang, a fermented Korean chili paste that brings a unique combination of heat, sweetness, and umami depth. Mixed with soy sauce, sesame oil, and a touch of honey, it creates a sauce that clings beautifully to the noodles and will have you going back for seconds (and thirds!). You can customize this recipe based on what you have in your fridge – add vegetables like bok choy, mushrooms, or bell peppers, or top with a fried egg for extra richness. For protein, try adding crispy tofu, edamame, or leftover cooked chicken. If you can't find gochujang, you can substitute with sriracha or another chili paste, though the flavor will be slightly different. These noodles are perfect for a quick lunch or dinner, and they also make great meal prep – just store the noodles and sauce separately and combine when ready to eat.",Easy 👌,10 min,10 min,2 portions,"200g noodles, 2 tbsp gochujang, 2 tbsp soy sauce, 1 tbsp sesame oil, 1 tbsp honey, 2 cloves garlic, 2 scallions, 1 tbsp sesame seeds, 1 tsp rice vinegar","1. Cook noodles according to package instructions, drain and set aside. 2. Mix gochujang, soy sauce, sesame oil, honey and rice vinegar. Chop garlic and scallions. 3. Heat pan, add garlic and cook briefly. Add sauce and noodles, toss to coat. 4. Serve topped with scallions and sesame seeds.","Asian, Korean, weeknight dinner, vegan, salty, spicy, main, pasta, veganuary, lactose free, spices, Meatless, savory, for two, spring, autumn, summer, winter"
Turkish candied pumpkin (Kabak tatlısı),"This traditional Turkish dessert turns humble pumpkin into something magical! Kabak tatlısı is a beloved sweet treat in Turkey, where pieces of pumpkin are slowly cooked with sugar until they become translucent, tender, and wonderfully sweet. The result is unlike anything else – the pumpkin develops an almost caramelized, honey-like flavor that's absolutely divine. What makes this dessert special is its simplicity and the way it celebrates the natural sweetness of pumpkin. Traditionally served with tahini or kaymak (clotted cream) and crushed walnuts, it's a study in contrasts: the sweet pumpkin against the slightly bitter tahini and the crunchy nuts. This dessert is naturally vegan and gluten-free (just skip the cream), and it's much lighter than typical Western desserts. You can make it ahead of time – it actually tastes better after sitting for a day as the flavors develop. It's best served at room temperature or slightly chilled. If you can't find kaymak, Greek yogurt or whipped cream work beautifully as substitutes.",Easy 👌,15 min,90 min,6 portions,"1kg pumpkin, 400g sugar, 100ml water, 50g walnuts, 2 tbsp tahini, kaymak or clotted cream (for serving)","1. Peel pumpkin and cut into large chunks (about 8cm pieces). 2. Arrange pumpkin in single layer in large pot. Sprinkle sugar over and add water. 3. Cover and cook on low heat for 60-90 min until pumpkin is translucent and very tender. Let cool in syrup. 4. Chop walnuts. Serve pumpkin with tahini, kaymak and crushed walnuts.","Turkish, middle eastern, dessert, vegetarian, sweet, prepare ahead, comfort food, nuts, for four, autumn, winter"
Crispy potato galette with smoked salmon,"Fresh from the oven, straight onto your plate: this potato galette with crispy edges is just what you need right now! Enjoy crispy, soft and creamy textures all in one dish – and you won't be craving anything more for the rest of the day. The crème fraîche and potato base will fill you up no problem, while the smoked salmon will elevate the taste to a party along with those fresh herbs. Trust that this dish is best served out of the oven with the potato edges extra crispy, so even if you prepare it ahead, do the baking last: Layer the potatoes in a pan and let them rest, and only bake before you serve. Need to reheat? Remove the salmon, heat the potato base up, and add salmon back after.",Medium 👍,20 min,50 min,6 portions,"1.25kg waxy potatoes, 80g butter, 1 clove garlic, 100g Parmesan cheese, 120g crème fraîche, 15g dill, 1/2 lemon, 225g smoked salmon, 1 red onion, 30g capers, 10g chives, salt, pepper","1. Preheat oven to 200°C/392°F. Slice potatoes thinly. Melt butter with chopped garlic. Mix with potatoes, season well. 2. Arrange potatoes in overlapping circles in cast iron pan, sprinkling Parmesan between layers. 3. Bake for 60-80 min until golden and crispy. Meanwhile, dice onion, chop herbs, drain capers. Mix crème fraîche with dill, lemon zest and juice. Slice salmon. 4. After baking, transfer galette to platter. Spread crème fraîche mix on top, garnish with salmon, onion, capers and chives.","baking, roasting, side, salty, main, cheese, prepare ahead, comfort food, fish, dinner party, french, european, savory, nordic, dairy, herbs, vegetables, spring, autumn, summer, winter"
Flavorful carrot salad with crispy Beluga lentils,"This carrot salad with crispy Beluga lentils really has it all: It's packed with textures and flavors, and it's both filling and light as a satisfying main. The combination of crunchy carrot ribbons, sweet dried apricots and earthy hazelnuts make the whole plate particularly exciting. Ras el Hanout gives the salad a warm, spicy note, while lemon zest, sherry vinegar and parsley provide freshness and lightness. For me, the roasted lentils are an absolute highlight, giving the salad a great crunch, completing the perfect celebration of different flavours and textures. You can swap the dried apricots for fresh ones, add other herbs like dill, or roast other nuts like almonds. If you like, sprinkle some feta on top at the end for a creamy component; without it, the dish is completely vegan. A colorful, healthy and satisfying salad, ideal for brunch, lunch or as part of your next dinner.",Easy 👌,30 min,15 min,4 portions,"250g beluga lentils, 400g carrots, 8 tbsp olive oil, 1 red onion, 8 dried apricots, 60g hazelnuts, 20g parsley, 2 tsp ras el hanout, 2 tsp maple syrup, 1 tsp lemon zest, 3 tbsp sherry vinegar, chili (optional), salt, pepper","1. Preheat oven to 220°C/425°F. Cook lentils, drain, spread on baking sheet with 2 tbsp olive oil. Roast for 15 min until crispy. 2. Peel carrots into ribbons. Slice onion into rings. Cut apricots into strips. Add to serving bowl. Chop hazelnuts and parsley. 3. Heat remaining olive oil with hazelnuts and ras el hanout. Pour over salad. Add maple syrup, lemon zest and sherry vinegar. Season and toss. 4. Add roasted lentils and parsley. Toss again, adjust seasoning. Garnish with chili if desired.","middle eastern, weeknight dinner, vegetarian, vegan, superfood, side, salad, nuts, dried-fruits, main, gluten free, dinner party, brunch, spices, Meatless, light, savory, grains, herbs, vegetables, spring, autumn, summer, winter, oven"
Fried pumpkin and chorizo pasta,"Fall season is all about being cozy, and nothing is cozier than seeing your orecchiette pasta hugging fried pumpkin pieces and chorizo pieces on your plate. This pasta belongs to autumn just as much as colorful leaves and long walks on crisp days. It's not only super easy, but also is an absolute flavor maze. You'll encounter a different flavor at every turn: Chorizo pieces that bring a bold and spicy flavor, the fried pumpkins with that smoky-sweet and silky creaminess, or the earthy thyme bringing it all together, it's all yours to try! For a fresher note, go for a little lemon zest right before serving and if you can't find fresh chorizo, simply swap for dried chorizo!",Easy 👌,30 min,0 min,2 portions,"200g Hokkaido pumpkins, 1 onion, 2 cloves garlic, 2 tbsp olive oil, 150g chorizo, 3 sprigs thyme, 200g chicken stock, 250g orecchiette, 50g Parmesan cheese, salt, pepper","1. Dice onion, chop garlic, dice pumpkin. Drain chickpeas. Heat olive oil, sear chorizo until browned. Remove from pan. 2. Add more oil, sauté onion until translucent. Add garlic and thyme, cook 1 min. Add pumpkin and chorizo, stir-fry 3 min. Add broth, simmer with lid until pumpkin soft. 3. Cook pasta until al dente minus 2 min. Add pasta and pasta water to pan, boil 2 min until creamy. Season and stir in Parmesan. Garnish with thyme and Parmesan.","italian, roasting, weeknight dinner, salty, spicy, main, cheese, pasta, comfort food, pork, sausage, savory, for two, dairy, herbs, vegetables, autumn, sauteing"
Easy tempeh stir-fry with crunchy veggies,"Quick to make, packed with flavor and, thanks to tempeh, full of good plant protein: This tempeh stir-fry is already your new go-to for healthy, colorful, and no-fuss meals. Tempeh is made from soybeans just like tofu, but its fermentation gives it a unique edge, making it firmer in texture, nuttier in taste and even more protein rich. In this recipe, it's fried until crispy, then coated in a glossy sweet-salty sauce that pairs perfectly with those crunchy veggies. The best thing is that you can switch up those veggies depending on the season, your pantry, or simply what you like. Take some broccoli, snow peas, or pak choi; it's all up to you here. Served with fragrant jasmine rice, this stir-fry is truly light yet so satisfying, ideal for any quick lunch or easy dinner day.",Easy 👌,30 min,0 min,2 portions,"200g tempeh, 200g broccolini, 1 red bell pepper, 2 scallions, 2 cloves garlic, 10g ginger, 1 tbsp starch, 2 tbsp soy sauce, 2 tbsp sweet chili sauce, 4 tbsp water, 75g baby spinach, 2 tbsp sesame oil, sesame seed, jasmine rice, oil","1. Cut broccolini into pieces, slice pepper, slice scallions (separate white and green). Chop garlic and ginger. Cut tempeh into pieces, coat with half the cornstarch. 2. Fry tempeh in hot oil until golden. Remove. Sauté vegetables, scallion whites, garlic and ginger for 3-4 min. 3. Mix soy sauce, sweet chili sauce, remaining cornstarch and water. Add to veggies, simmer briefly. Stir in tempeh and spinach. Season. Drizzle sesame oil, sprinkle scallion greens and sesame seeds. Serve with jasmine rice.","marinating, weeknight dinner, vegan, salty, spicy, main, veganuary, lactose free, spices, Meatless, Asian, savory, frying, for two, soy products, herbs, vegetables, spring, autumn, summer, winter"
Warm bulgur salad with roasted zucchini and radicchio,"Let bulgur salad prove itself to be a really cozy dish, and you'll be prepared for any cold day that's coming your way. You'll not only have a cozy autumn Mediterranean meal, but also get a kick of nutritious flavors thanks to the harmony between the zucchini, radicchio, and grapes. Radicchio brings a tart character into this bulgur salad, especially when it's fried in brown butter! It loses most of the bitterness, but rather develops an intense, aromatic flavor. The grapes will be the exciting contrast you need to try this season with the sweet, juicy kick they bring. My two tips are; to lose all the bitterness you can put sliced radicchio in an ice bath for approx. 20 min. before frying, and adding crumbled feta or roasted almond slices to get an even richer taste if you like. This salad will taste the best fresh, but lukewarm or room temperature also works.",Medium 👍,25 min,25 min,4 portions,"200g bulgur, 400ml water, 2 zucchini, 240g canned chickpeas, 2 cloves garlic, 200g red grapes, 3 tbsp olive oil, 1 radicchio, 40g butter, 40g pine nuts, 10g parsley, 1 lemon, 1 tbsp honey, salt, pepper","1. Preheat oven to 200°C/392°F. Cook bulgur in water for 10 min, let rest 5 min. Slice zucchini, rinse chickpeas, chop garlic. Mix zucchini, chickpeas, grapes, garlic, olive oil, salt and pepper. Roast on baking sheet for 20-25 min. 2. Quarter radicchio, remove stalk, cut into pieces. Melt butter until brown, add pine nuts and radicchio, sauté 1 min. Season and let rest. 3. Chop parsley. Zest and juice lemon. Whisk lemon juice, olive oil, honey, salt and pepper. Mix bulgur, roasted vegetables and radicchio in bowl. Drizzle dressing, add parsley and lemon zest. Serve warm.","baking, roasting, middle eastern, weeknight dinner, vegetarian, salad, nuts, main, prepare ahead, comfort food, Meatless, savory, fruits, for four, bitter, frying, grains, dairy, herbs, vegetables, autumn, winter, oven, sauteing"